track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days
Finger Lakes,2024-09-11,1,1,Abe Honestly,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,1,2,Margarita Sunrise,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,1,3,Tenency,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,1,4,Masked Marauder,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,1,5,Prepare for Glory,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,1,6,Double Vision,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,1,7,Play Ball,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,2,1,Archivist,0,,,-999.0,7,,,,0.0,,,,,,,,120.0,
Finger Lakes,2024-09-11,2,2,Ligon's Legacy,0,,,-999.0,7,,,,0.0,,,,,,,,120.0,
Finger Lakes,2024-09-11,2,3,Jen's Kiss,0,,,-999.0,7,,,,0.0,,,,,,,,120.0,
Finger Lakes,2024-09-11,2,4,Frankie C,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,2,5,My Little One,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,2,6,Ida de Nile,0,,,-999.0,7,,,,0.0,,,,,,,,120.0,
Finger Lakes,2024-09-11,2,7,Crystal,0,,,-999.0,7,,,,0.0,,,,,,,,120.0,
Finger Lakes,2024-09-11,3,1,Blue Eyed Warrior,0,,,-999.0,7,,,,0.0,,,,,,,,121.0,
Finger Lakes,2024-09-11,3,2,Devilly,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,3,3,Peach Be With Q,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,3,4,Dosage and Mimosas,0,,,-999.0,7,,,,0.0,,,,,,,,115.0,
Finger Lakes,2024-09-11,3,5,Motley Sue,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,3,6,Leadership Ability,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,3,7,Strange Fruit,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,4,1,Alongcametheprince,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,4,2,Massey Hall,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,4,3,Vibe Setter,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,4,4,Hardly Working,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,4,5,Blood Moon,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,4,6,Trappe the Dream,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,4,7,Town Jak,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,4,8,With Know Name,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,5,1,Captainofmyheart,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,5,2,Bowing Snowman,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,5,3,Kong Loves a Fight,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,5,4,Norgay,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,5,5,Fire Down Below,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,5,6,Angelic Mission,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,5,7,Max Foster,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,5,8,Uncle Miltie,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,6,1,All Bizz,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,6,2,True Destiny,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,6,3,Call Me Carmelita,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,6,4,Quiet Horizon,0,,,-999.0,9,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,6,5,Mind of Gold,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,6,6,Pals Ally,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,6,7,Stay Home Mama,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,6,8,Sweet Desantis,0,,,-999.0,9,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,6,9,Melissa's Smile,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,7,1,Forward Motion,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,7,1A,Nutsie,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,7,2,Father Walsh,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,7,3,Boss Holiday,0,,,-999.0,10,,,,0.0,,,,,,,,120.0,
Finger Lakes,2024-09-11,7,4,The Last Ace,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,7,5,Almendro,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,7,6,Sutton Breeze,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,7,7,Gold in Them Hills,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,7,8,Bustin Shout,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,7,9,Martinkelly,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,8,1,Ruler of the Night,0,,,-999.0,10,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,8,1A,Kaz' Rose,0,,,-999.0,10,,,,0.0,,,,,,,,121.0,
Finger Lakes,2024-09-11,8,2,Kitty Tin Tin,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,8,3,George's Vice,0,,,-999.0,10,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,8,4,Sweet Tooth Sue,0,,,-999.0,10,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,8,5,She Loves to Move,0,,,-999.0,10,,,,0.0,,,,,,,,121.0,
Finger Lakes,2024-09-11,8,6,Necessaryandproper,0,,,-999.0,10,,,,0.0,,,,,,,,121.0,
Finger Lakes,2024-09-11,8,7,Jessica's Race,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Finger Lakes,2024-09-11,8,8,Luna Loca,0,,,-999.0,10,,,,0.0,,,,,,,,122.0,
Finger Lakes,2024-09-11,8,9,Subtle Giant,0,,,-999.0,10,,,,0.0,,,,,,,,122.0,
Kentucky Downs,2024-09-11,1,1,Storm the Streets,0,,,-999.0,16,,,,0.0,,,,,,,,119.0,
