track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Belterra Park,2025-07-24,1,1,Ruby Layne,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,1,2,Priceless Picture,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,1,3,Sarah Jane,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,1,4,Savesomeforme,0,,,-999.0,6,,,,0,,,,,,,,118.0,,0,0
Belterra Park,2025-07-24,1,5,Rocky Channel,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,1,6,Whiskey Diamond,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,2,1,Dossier,0,,,-999.0,6,,,,0,,,,,,,,118.0,,0,0
Belterra Park,2025-07-24,2,2,Mikie O'Prado,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,2,3,J W Ruckus,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,2,4,Pinedale,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Belterra Park,2025-07-24,2,5,Frisco Line,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,2,6,Centrifugal Force,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Belterra Park,2025-07-24,3,1,Emerson's Dream,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,3,2,Yaree D Tat,0,,,-999.0,6,,,,0,,,,,,,,118.0,,0,0
Belterra Park,2025-07-24,3,3,Every Loving Wish,0,,,-999.0,6,,,,0,,,,,,,,118.0,,0,0
Belterra Park,2025-07-24,3,4,Run Run Rabbit,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,3,5,Cierra Empire,0,,,-999.0,6,,,,0,,,,,,,,118.0,,0,0
Belterra Park,2025-07-24,3,6,Vino Veloce,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,4,1,Frosty the Soldier,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,4,2,Raison Karter,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,4,3,My Romeo Lima,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,4,4,Long Shorts,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Belterra Park,2025-07-24,4,5,Road Minister,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,4,6,Dance Some Mo,0,,,-999.0,6,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,5,1,Dos Amores,0,,,-999.0,11,,,,0,,,,,,,,114.0,,0,0
Belterra Park,2025-07-24,5,2,Estrella Silver,0,,,-999.0,11,,,,0,,,,,,,,119.0,,1,0
Belterra Park,2025-07-24,5,3,Holiday Betty,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belterra Park,2025-07-24,5,4,She's Mad,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belterra Park,2025-07-24,5,5,La Heroica,0,,,-999.0,11,,,,0,,,,,,,,114.0,,0,0
Belterra Park,2025-07-24,5,6,The Little Sultana,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belterra Park,2025-07-24,5,7,Veuve On Tap,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belterra Park,2025-07-24,5,8,Glory to God,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belterra Park,2025-07-24,5,9,In the Aggregate,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belterra Park,2025-07-24,5,10,Rosenvold,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belterra Park,2025-07-24,5,11,Flaming Mama,0,,,-999.0,11,,,,0,,,,,,,,119.0,,1,0
Belterra Park,2025-07-24,6,1,Kenya Sun,0,,,-999.0,7,,,,0,,,,,,,,125.0,,0,0
Belterra Park,2025-07-24,6,2,Computadora,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,6,3,Frankly My Dear,0,,,-999.0,7,,,,0,,,,,,,,118.0,,0,0
Belterra Park,2025-07-24,6,4,Miss Over There,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,6,5,Play Maker,0,,,-999.0,7,,,,0,,,,,,,,125.0,,0,0
Belterra Park,2025-07-24,6,6,Wildcat Dream,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,6,7,Ready Set Adios,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,7,1,Benito,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,7,2,No Manches,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,7,3,Ice Minister,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,7,4,Motor City Menace,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,7,5,Golden Survivor,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,7,6,Redhill,0,,,-999.0,7,,,,0,,,,,,,,118.0,,0,0
Belterra Park,2025-07-24,7,7,Thundering Heart,0,,,-999.0,7,,,,0,,,,,,,,119.0,,0,0
Belterra Park,2025-07-24,8,1,Maiden Lane,0,,,-999.0,11,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,8,2,Last Chance Dance,0,,,-999.0,11,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,8,3,Why Looky Here,0,,,-999.0,11,,,,0,,,,,,,,125.0,,0,0
Belterra Park,2025-07-24,8,4,Orozimba,0,,,-999.0,11,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,8,5,Spring Spinning,0,,,-999.0,11,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,8,6,Soulstone,0,,,-999.0,11,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,8,7,Old Fashioned Girl,0,,,-999.0,11,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,8,8,Sonho de Verao,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Belterra Park,2025-07-24,8,9,Our Prayer,0,,,-999.0,11,,,,0,,,,,,,,123.0,,0,0
Belterra Park,2025-07-24,8,10,Ticket to Fly,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Belterra Park,2025-07-24,8,11,Ribaldry (IRE),0,,,-999.0,11,,,,0,,,,,,,,123.0,,0,0
Canterbury Park,2025-07-24,1,1,I'm So Funny,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-24,1,2,Measureofdevotion,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-24,1,3,Teardrop Tiara,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
