track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days
Woodbine,2024-09-12,1,1,Highland Rocky,0,,,-999.0,10,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,1,2,Java Power,0,,,-999.0,10,,,,0.0,,,,,,,,113.0,
Woodbine,2024-09-12,1,3,Seattle Stinger,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-12,1,4,Tropical Getaway,0,,,-999.0,10,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,1,5,Screen Legend,0,,,-999.0,10,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,1,6,Hurricane Deshambo,0,,,-999.0,10,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-12,1,7,Question Mark,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-12,1,8,Panyard Tap,0,,,-999.0,10,,,,0.0,,,,,,,,113.0,
Woodbine,2024-09-12,1,9,Squeezethesharman,0,,,-999.0,10,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-12,1,10,Gentle Persuasion,0,,,-999.0,10,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,2,1,Zeena Swift,0,,,-999.0,10,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,2,2,Rendezvous,0,,,-999.0,10,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,2,3,Silent Patsy,0,,,-999.0,10,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,2,4,All My Tomorrows,0,,,-999.0,10,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,2,5,Princessonamission,0,,,-999.0,10,,,,0.0,,,,,,,,117.0,
Woodbine,2024-09-12,2,6,Save the Date,0,,,-999.0,10,,,,0.0,,,,,,,,115.0,
Woodbine,2024-09-12,2,7,Lady With Attitude,0,,,-999.0,10,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-12,2,8,Powaqa,0,,,-999.0,10,,,,0.0,,,,,,,,113.0,
Woodbine,2024-09-12,2,9,Scored,0,,,-999.0,10,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,2,10,Scat Humor,0,,,-999.0,10,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,3,1,Umneyaat,0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,3,2,Pluie d'Avril,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-12,3,3,Delphia,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-12,3,4,Text Me Up,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-12,3,5,Lady in Red,0,,,-999.0,9,,,,0.0,,,,,,,,116.0,
Woodbine,2024-09-12,3,6,Frankie's Girl,0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,3,7,Make No Mistake,0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,3,8,Awildas Treasure,0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,3,9,Systematic,0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,4,1,Brit,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-12,4,2,Madam Gwen,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-12,4,3,Ami's Girl,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,4,4,Annia Cornificia F,0,,,-999.0,8,,,,0.0,,,,,,,,117.0,
Woodbine,2024-09-12,4,5,Stormy Ocean,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,4,6,Six for a Nine,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,4,7,Ladies Rum,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-12,4,8,Motorin' Maggie,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,5,1,Speedy Pal,0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,5,2,Silver Smoke,0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,5,3,Agile Dancer,0,,,-999.0,9,,,,0.0,,,,,,,,116.0,
Woodbine,2024-09-12,5,4,Fabelman,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-12,5,5,Dreams and Schemes,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,5,6,Victory Town,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-12,5,7,Fairway to Heaven,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,5,8,Sugar It's Eli,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-12,5,9,My Munnings Model,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,6,1,Bridge to Nowhere,0,,,-999.0,7,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,6,2,Northern Ruby,0,,,-999.0,7,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-12,6,3,Hello Friends,0,,,-999.0,7,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,6,4,Cleomenes,0,,,-999.0,7,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,6,5,Kavala,0,,,-999.0,7,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,6,6,Spider Belle,0,,,-999.0,7,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,6,7,Antigone,0,,,-999.0,7,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-12,7,1,Seattle Causeway,0,,,-999.0,9,,,,0.0,,,,,,,,117.0,
Woodbine,2024-09-12,7,2,Happy Valentine,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,7,3,Blameless Ghost,0,,,-999.0,9,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-12,7,4,Olympic Fencer,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,7,5,Domer Allure,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,7,6,Silent Sky,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,7,7,Fortyfiveseventy,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,7,8,Cozy Curlin Kitten,0,,,-999.0,9,,,,0.0,,,,,,,,116.0,
Woodbine,2024-09-12,7,9,Foxy Diva,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,8,1,Classic Glory,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,8,2,She'sacrowdpleaser,0,,,-999.0,11,,,,0.0,,,,,,,,113.0,
Woodbine,2024-09-12,8,3,A Sting for Love,0,,,-999.0,11,,,,0.0,,,,,,,,117.0,
Woodbine,2024-09-12,8,4,Moet Monet,0,,,-999.0,11,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-12,8,5,Magnetize,0,,,-999.0,11,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-12,8,6,War Vow,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-12,8,7,Resentless Seattle,0,,,-999.0,11,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-12,8,8,Miss Waterloo,0,,,-999.0,11,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-12,8,9,Bling d'Money Home,0,,,-999.0,11,,,,0.0,,,,,,,,113.0,
Woodbine,2024-09-12,8,10,Sloans Sky,0,,,-999.0,11,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-12,8,11,Sigiriya,0,,,-999.0,11,,,,0.0,,,,,,,,120.0,
