track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Assiniboia Downs,2025-09-16,1,1,Ranger Town,0,,,-999.0,5,,,,0,,,,,,,,122.0,,0,0
Assiniboia Downs,2025-09-16,1,2,The Wright Way,0,,,-999.0,5,,,,0,,,,,,,,119.0,,0,0
Assiniboia Downs,2025-09-16,1,3,High Miler,0,,,-999.0,5,,,,0,,,,,,,,119.0,,0,0
Assiniboia Downs,2025-09-16,1,4,Areunotentertained,0,,,-999.0,5,,,,0,,,,,,,,122.0,,0,0
Assiniboia Downs,2025-09-16,1,5,Todo Corazon,0,,,-999.0,5,,,,0,,,,,,,,122.0,,0,0
Assiniboia Downs,2025-09-16,2,1,Burrow Down,0,,,-999.0,5,,,,0,,,,,,,,123.0,,0,0
Assiniboia Downs,2025-09-16,2,2,Marvelous Lady,0,,,-999.0,5,,,,0,,,,,,,,118.0,,0,0
Assiniboia Downs,2025-09-16,2,3,Welcometohollywood,0,,,-999.0,5,,,,0,,,,,,,,117.0,,0,0
Assiniboia Downs,2025-09-16,2,4,Magic Chrome,0,,,-999.0,5,,,,0,,,,,,,,118.0,,0,0
Assiniboia Downs,2025-09-16,2,5,Baby Gundin,0,,,-999.0,5,,,,0,,,,,,,,123.0,,0,0
Assiniboia Downs,2025-09-16,3,1,Freeze 'Em,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Assiniboia Downs,2025-09-16,3,2,Peso,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Assiniboia Downs,2025-09-16,3,3,Northvale Road,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Assiniboia Downs,2025-09-16,3,4,Designated Hitter,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Assiniboia Downs,2025-09-16,3,5,Mr. Stang,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Assiniboia Downs,2025-09-16,3,6,Totalizer,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Assiniboia Downs,2025-09-16,4,1,Mineral Rights,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Assiniboia Downs,2025-09-16,4,2,I Am Mila,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Assiniboia Downs,2025-09-16,4,3,Majestic Appeal,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Assiniboia Downs,2025-09-16,4,4,Casually Classy,0,,,-999.0,7,,,,0,,,,,,,,117.0,,0,0
Assiniboia Downs,2025-09-16,4,5,Bound for Heaven,0,,,-999.0,7,,,,0,,,,,,,,117.0,,0,0
Assiniboia Downs,2025-09-16,4,6,Betty Jo,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Assiniboia Downs,2025-09-16,4,7,Damn the Torpedoes,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Assiniboia Downs,2025-09-16,5,1,Magic Tiger,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Assiniboia Downs,2025-09-16,5,2,Riverside,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Assiniboia Downs,2025-09-16,5,3,McKague,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Assiniboia Downs,2025-09-16,5,4,Corredor,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Assiniboia Downs,2025-09-16,5,5,Judo,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Assiniboia Downs,2025-09-16,5,6,Malibu S S,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Assiniboia Downs,2025-09-16,5,7,Arrest,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Assiniboia Downs,2025-09-16,5,8,Mr Jaws,0,,,-999.0,8,,,,0,,,,,,,,114.0,,0,0
Assiniboia Downs,2025-09-16,6,1,Noiwontbackdown,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Assiniboia Downs,2025-09-16,6,2,Lemon Twist,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
