track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days
Gulfstream Park,2024-09-13,1,1,Coral Dream,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,1,2,Eleanor Rigby,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,1,3,Full Exchange,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,1,4,Blinging Burr,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,1,5,Whodoyoulikehere,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,1,6,Diamonds N Thrills,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,1,7,Mor Dreams,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,1,8,Jojo's Gone,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,2,1,Call Me a Cab,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,2,2,Venezuela Is Gold,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,2,3,Centerfold Guy,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,2,4,Adios Buster,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,2,5,Ojin,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,2,6,Skull Honor,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,2,7,Maxchero,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,2,8,Silver Punch,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,3,1,Beganingreenpoint,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,3,2,Mr. American,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,3,3,Fort Attitude,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,3,4,Souper Sunshine,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,3,5,Putman,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,3,6,Calypso Charlie,0,,,-999.0,7,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,3,7,Grand Maxime,0,,,-999.0,7,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,4,1,Gingersnap Jack,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,4,2,Albert Son,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,4,3,Winooski,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,4,4,Thingsrgettinharry,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,4,5,Breath Deeply,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,4,6,Fifty One Fifty,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,4,7,Flashover,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,4,8,Allegrini,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,5,1,Blue Slide Park,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,5,2,Fenwick,0,,,-999.0,8,,,,0.0,,,,,,,,125.0,
Gulfstream Park,2024-09-13,5,3,The Honeyman,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,5,4,Billy the Greek,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,5,5,Ambor Night,0,,,-999.0,8,,,,0.0,,,,,,,,125.0,
Gulfstream Park,2024-09-13,5,6,Into You,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,5,7,Speed Control,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,5,8,Roan,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,6,1,No Deliberation,0,,,-999.0,8,,,,0.0,,,,,,,,121.0,
Gulfstream Park,2024-09-13,6,2,Dundie,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Gulfstream Park,2024-09-13,6,3,Lieutenant Stan,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Gulfstream Park,2024-09-13,6,4,Christensen,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Gulfstream Park,2024-09-13,6,5,Heals the Soul,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Gulfstream Park,2024-09-13,6,6,Mr Narcissistic,0,,,-999.0,8,,,,0.0,,,,,,,,121.0,
Gulfstream Park,2024-09-13,6,7,Gabagool,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Gulfstream Park,2024-09-13,6,8,Nichiren,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Gulfstream Park,2024-09-13,7,1,Whateverwilbewilbe,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,2,Secret Lover,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,3,King Faliero,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,4,In the Blue,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,7,5,Sultan the Great,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,6,Star of the Beast,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,7,Lace Up,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,8,Raging Fury,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,8,1,Welcome Back,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Gulfstream Park,2024-09-13,8,2,Etrurian,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,8,3,Next Right Thing,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,4,Super Freaky Girl,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,8,5,Tinki Abarrio,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,6,Deflection,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,7,Mywifeknowsitall,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,8,Roscoe Village,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,9,Lucy's Cookie,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,9,1,Ideal Breeze,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,2,Ritabook,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,3,Just Take Notes,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,9,4,She's Outta Here,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,5,Macassa,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,6,Foxy Lady,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,7,Trotting Gear,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,8,Barbara,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Laurel Park,2024-09-13,1,1,Prom Knight,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,1,2,Bold Honor,0,,,-999.0,7,,,,0.0,,,,,,,,117.0,
Laurel Park,2024-09-13,1,3,Dream River,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,1,4,Gabriel Seven,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,1,5,Aim for the Cork,0,,,-999.0,7,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,1,6,Box N Ben,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,1,7,Bigdaddysboy,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,1,In Her Cups,0,,,-999.0,12,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,2,2,Lenamagnetta,0,,,-999.0,12,,,,0.0,,,,,,,,121.0,
Laurel Park,2024-09-13,2,3,Rye Smile,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,4,T C Neigh,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,5,Romantic Story,0,,,-999.0,12,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,2,6,Hateful,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,7,Surprisingly Sweet,0,,,-999.0,12,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,2,8,Asknotwhatyoucando,0,,,-999.0,12,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,2,9,Hot Dance,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,10,Doris' Slaying It,0,,,-999.0,12,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,2,11,Divine Spirit,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,12,Police Woman,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
