track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Aqueduct,2025-04-03,1,1,Soundbite,0,,,-640.0,5,,,,0,,,,,,,,118.0,,0,0
Aqueduct,2025-04-03,1,2,Rising Inflation,0,,,-640.0,5,,,,0,,,,,,,,121.0,,0,0
Aqueduct,2025-04-03,1,3,Gold Lightning,0,,,-640.0,5,,,,0,,,,,,,,121.0,,0,0
Aqueduct,2025-04-03,1,4,Bells Beach,0,,,-640.0,5,,,,0,,,,,,,,121.0,,0,0
Aqueduct,2025-04-03,1,5,Malu,0,,,-640.0,5,,,,0,,,,,,,,123.0,,0,0
Aqueduct,2025-04-03,2,1,Trade Secret,0,,,-610.0,9,,,,0,,,,,,,,123.0,,1,0
Aqueduct,2025-04-03,2,1A,Poseidon's Mist,0,,,-610.0,9,,,,0,,,,,,,,123.0,,0,0
Aqueduct,2025-04-03,2,2,Chasing Daylight,0,,,-610.0,9,,,,0,,,,,,,,123.0,,0,0
Aqueduct,2025-04-03,2,2B,Magic Eight Ball,0,,,-610.0,9,,,,0,,,,,,,,118.0,,0,0
Aqueduct,2025-04-03,2,3,Sheza Bernardini,0,,,-610.0,9,,,,0,,,,,,,,123.0,,0,0
Aqueduct,2025-04-03,2,3X,La Grotte,0,,,-610.0,9,,,,0,,,,,,,,123.0,,0,0
Aqueduct,2025-04-03,2,4,Baroness Bourbon,0,,,-610.0,9,,,,0,,,,,,,,123.0,,0,0
Aqueduct,2025-04-03,2,5,Dolce Sera,0,,,-610.0,9,,,,0,,,,,,,,123.0,,0,0
Aqueduct,2025-04-03,2,6,Karen's Honor,0,,,-610.0,9,,,,0,,,,,,,,123.0,,0,0
Aqueduct,2025-04-03,3,1,Dat Dares Right,0,,,-580.0,6,,,,0,,,,,,,,124.0,,0,0
Aqueduct,2025-04-03,3,2,Moonlit Weekend,0,,,-580.0,6,,,,0,,,,,,,,124.0,,1,0
Aqueduct,2025-04-03,3,3,She's Cool,0,,,-580.0,6,,,,0,,,,,,,,124.0,,0,0
Aqueduct,2025-04-03,3,4,Gregorian Solo,0,,,-580.0,6,,,,0,,,,,,,,124.0,,0,0
Aqueduct,2025-04-03,3,5,Catchphrase,0,,,-580.0,6,,,,0,,,,,,,,124.0,,0,0
Aqueduct,2025-04-03,3,6,Toxic Girl,0,,,-580.0,6,,,,0,,,,,,,,113.0,,0,0
Aqueduct,2025-04-03,4,1,Spiritual Lady,0,,,-548.0,6,,,,0,,,,,,,,116.0,,1,0
