track,surface,rail,post,trainer_win_pct,jockey_win_pct,tj_win,days_since,start_since_layoff,ep,lp,last_track,this_track,win
Assiniboia Downs,,,1,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,2,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,3,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,4,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,5,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,1,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,2,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,3,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,4,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,5,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,6,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,1,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,2,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,3,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,4,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,5,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,6,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,1,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,2,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,3,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,4,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,5,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,6,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,1,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,2,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,3,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,4,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,5,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,6,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,7,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,8,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,1,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,2,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,3,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,4,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,5,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,6,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,7,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,1,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,2,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,3,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,4,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,5,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,6,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,7,,,,,,,,,Assiniboia Downs,0
Assiniboia Downs,,,8,,,,,,,,,Assiniboia Downs,0
